code: sincerely, description: Sincerely,
code: letterName, description: Payment Receipt
code: subject, description: MacOdrum Library - Payment Receipt
code: addressFrom, description: libraryservices@cunet.carleton.ca
code: department, description: Access Services Department
code: receipt_no, description: Receipt No
code: fee_type, description: Fee Type
code: payment_date, description: Payment Date
code: paid_amount, description: Paid Amount
code: payment_method, description: Payment Method
code: transaction_id, description: Transaction ID
code: barcode, description: Barcode
code: call_number, description: Call Number
code: alternative_call_number, description: Item Call Number
code: note, description: Note
code: total, description: Total
code: Cc, description: None
code: Bcc, description: None
