code: sincerely, description: Cordialement
code: letterName, description: Reçu
code: subject, description: MacOdrum Library - Reçu
code: addressFrom, description: libraryservices@cunet.carleton.ca
code: department, description: Service au public
code: receipt_no, description: N° de reçu
code: fee_type, description: Type de frais
code: payment_date, description: Date de paiement
code: paid_amount, description: Montant acquitté
code: payment_method, description: Méthode de paiement
code: transaction_id, description: Identifiant de transaction
code: barcode, description: Code-barres
code: call_number, description: Cote
code: alternative_call_number, description: Cote d’exemplaire
code: note, description: Note
code: total, description: Total
code: Cc, description: Aucun
code: Bcc, description: Aucun
