code: borrower_reference, description: Référence de l'emprunteur
code: my_id, description: Mon identifiant
code: external_identifier, description: Identifiant externe
code: addressFrom, description: Your.Department@organization.com
code: letterName, description: Lettre de PEB entrant
code: subject, description: Avis de PEB entrant
code: supplied_to, description: Fourni à
code: date_needed_by, description: Nécessaire pour le
code: request_note, description: Note de demande
code: requester_email, description: E-mail du demandeur
code: item_barcode, description: Code-barres exemplaire
code: location, description: Localisation
code: library, description: Bibliothèque
code: shelving_location_for_item, description: Emplacement sur les rayons / Localisation
code: call_number, description: Cote
code: assignee, description: Bénéficiaire
code: journal_title, description: Titre de revue
code: author, description: Auteur
code: author_initials, description: Initiales de l'auteur
code: publisher, description: Éditeur
code: place_of_publication, description: Lieu de publication
code: publication_date, description: Date de publication
code: year, description: Année
code: edition, description: Édition
code: issue, description: Fascicule
code: additional_person_name, description: Nom supplémentaire
code: source, description: Source
code: series_title_number, description: Numéro de collection
code: isbn, description: ISBN
code: issn, description: ISSN
code: doi, description: DOI
code: pmid, description: PMID
code: note, description: Note
code: chapter, description: Chapitre
code: chapter_title, description: Titre du chapitre
code: chapter_author, description: Auteur du chapitre
code: editor, description: Éditeur
code: volume, description: Volume
code: part, description: Partie
code: pages, description: Pages
code: start_page, description: Page début
code: end_page, description: Page de fin
code: oclc_number, description: Numéro OCLC
code: lcc_number, description: LCCN
code: level_of_service, description: Niveau de Service
code: Cc, description: Aucun
code: Bcc, description: Aucun
code: resource_sharing_request_id, description: Identifiant de demande PEB interne
code: shipping_method, description: Méthode d'expédition
code: request_status, description: Statut de la demande
code: service_type, description: Type de demande
code: loan, description: Prêt
code: copy, description: Copie
code: bor_request_local_id, description: Numéro de la demande
code: lending_request_create_date, description: Date de la demande
code: payment_type, description: Classe de paiement
code: copy_type, description: Type de copie
code: lending_request_local_id, description: Numéro de réception
code: requested_date, description: Date de réception
code: shipping_date, description: Date d'expédition
code: return_deadline, description: Date limite de retour
code: size, description: Taille
code: unit_price, description: Prix unitaire
code: quantity, description: Quantité
code: subtotal, description: Sous-total
code: basic_fee, description: Frais de base
code: shipping_fee, description: Frais d'expédition
code: total, description: Total
code: article, description: Article
code: volume_number, description: Nombre de volumes
code: page, description: Page
code: applicant_name, description: Nom du demandeur
code: affiliation, description: Affiliation
code: nacsis_request_id, description: Identifiant de la demande
code: format, description: Format
code: update_date, description: Date de mise à jour
code: request_type, description: Type de demande
code: bib_record_id, description: Identifiant de notice bibliographique
code: create_date, description: Date de création
code: bib_record_title, description: Titre
code: bib_standard_number, description: Numéro standard
code: registration_number, description: Numéro d'enregistrement
code: receive_date, description: Date d'arrivée
code: return_date_bor, description: Date de retour pour l'emprunteur
code: return_date_len, description: Date de retour pour le prêteur
code: authority, description: Autorité
code: bib_auth, description: Autorité bibliographique
code: slip_title, description: Lettre de transmission
code: apology_message, description: Message d'excuse
code: message_to_lender, description: Message au prêteur
code: delivery_address, description: Adresse de livraison
code: from, description: Du
code: shipping_costs, description: Coûts d'expédition
code: requesting_library, description: Bibliothèque demandeuse
code: requesting_library_address, description: Adresse de la bibliothèque demandeuse
code: receiving_library_address, description: Adresse de la bibliothèque destinataire
