code: call_number, description: Cote
code: fee_amount, description: Montant des frais
code: charged_with_fines_fees, description: Nous vous demandons de vous acquitter des frais et amendes suivantes :
code: addressFrom, description: libraryservices@cunet.carleton.ca
code: department, description: Service au public
code: description, description: Description
code: additional_info_2, description: EMPTY_STRING
code: additional_info_1, description: EMPTY_STRING
code: subject, description: Facture pour la perte de document(s)
code: letterName, description: Facture pour la perte de document(s)
code: sincerely, description: Cordialement
code: inform_you_item_below, description: Nous vous informons que les documents décrits ci-dessous
code: borrowed_by_you, description: Emprunté par vous
code: decalred_as_lost, description: ont été déclarés perdus
code: Bcc, description: Aucun
code: Cc, description: Aucun
code: barcode, description: Code-barres
code: by, description: Auteur
code: dear, description: Madame, Monsieur
code: due_date, description: Date de retour
code: fee_type, description: Type de frais
code: library, description: Bibliothèque
code: loan_date, description: Date de prêt
code: lost_item, description: Exemplaire perdu
code: note, description: Note
code: notification_profiles, description: Profils
code: overdue_notification_fee, description: Frais d'avis de retard :
