code: subject, description: Transit slip
code: letterName, description: Transit Slip
code: addressFrom, description: LSPsupport@cunet.carleton.ca
code: we_are_transferring_item_below, description: We are transferring the item below
code: print_date, description: Print Date
code: request_id, description: Request ID
code: item_barcode, description: Item Barcode
code: from, description: From
code: to, description: To
code: transfer_time, description: Transfer Time
code: transfer_date, description: Transfer Date
code: material_type, description: Material Type
code: user_note, description: User Note
code: system_notes, description: System Notes
code: requested_for, description: Requested For
code: email, description: Email
code: tel, description: Tel
code: request_date, description: Request Date
code: expiration_date, description: Expiration Date
code: owning_library, description: Owning Library
code: request_note, description: Request Note
code: call_number, description: Call Number
code: Cc, description: None
code: Bcc, description: None
