code: Bcc, description: None
code: Cc, description: None
code: addressFrom, description: Your.Department@organization.com
code: affiliation, description: Affiliation
code: apology_message, description: Apology message
code: applicant_name, description: Applicant Name
code: arrival_date, description: Material Arrival Date
code: article, description: Article
code: author, description: Author
code: authority, description: Authority
code: basic_fee, description: Basic Fee
code: bib_auth, description: Bibliographic Authority
code: bib_record_id, description: Bibliographic Record ID
code: bib_record_title, description: Title
code: bib_standard_number, description: Standard Number
code: bor_request_local_id, description: Request Number
code: call_number, description: Call Number
code: circulation_note, description: Circulation Note
code: citation_id, description: With citation id
code: copy, description: Copy
code: copy_type, description: Copy Type
code: cost_to_patron, description: Patron Receive Cost
code: create_date, description: Create Date
code: delivery_address, description: Delivery Address
code: from, description: From
code: fulfillment_note, description: Fulfillment Note
code: internal_id, description: Internal ID
code: item_barcode, description: Item Barcode
code: journal_title, description: Journal Title
code: lending_request_create_date, description: Request Date
code: lending_request_local_id, description: Reception Number
code: letterName, description: Resource Sharing Receive Slip Letter
code: loan, description: Loan
code: message_to_lender, description: Message to lender
code: nacsis_request_id, description: Request ID
code: page, description: Page
code: patron_name, description: Patron Name
code: payment_type, description: Payment Class
code: pickup_location, description: Pickup Location
code: quantity, description: Quantity
code: reading_list, description: This item was requested for the reading list
code: receive_date, description: Arrival Date
code: receiving_library_address, description: Receiving Library Address
code: registration_number, description: Registration Number
code: request_date, description: Request Date
code: request_id, description: Request No
code: request_status, description: Request Status
code: request_type, description: Request Type
code: requested_date, description: Reception Date
code: requesting_library, description: Requesting Library
code: requesting_library_address, description: Requesting Library Address
code: return_date_bor, description: Return Date Borrower
code: return_date_len, description: Return Date Lender
code: return_deadline, description: Return Deadline
code: service_type, description: Request Type
code: shipping_cost, description: Cost
code: shipping_costs, description: Shipping Costs
code: shipping_date, description: Shipping Date
code: shipping_fee, description: Shipping Fee
code: shipping_method, description: Shipping Method
code: signature, description: Sincerely
code: size, description: Size
code: slip_title, description: Letter of Transmittal
code: subject, description: Resource Sharing Receive Slip Letter
code: subtotal, description: Subtotal
code: title, description: Title
code: total, description: Total
code: unit_price, description: Unit Price
code: update_date, description: Update Date
code: volume, description: Volume
code: volume_number, description: Volume Number
code: year, description: Year
