code: Bcc, description: Aucun
code: Cc, description: Aucun
code: addressFrom, description: Your.Department@organization.com
code: affiliation, description: Affiliation
code: apology_message, description: Message d'excuse
code: applicant_name, description: Nom du demandeur
code: arrival_date, description: Date d'arrivée du matériel
code: article, description: Article
code: author, description: Auteur
code: authority, description: Autorité
code: basic_fee, description: Frais de base
code: bib_auth, description: Autorité bibliographique
code: bib_record_id, description: Identifiant de notice bibliographique
code: bib_record_title, description: Titre
code: bib_standard_number, description: Numéro standard
code: bor_request_local_id, description: Numéro de la demande
code: call_number, description: Cote
code: circulation_note, description: Note de circulation
code: citation_id, description: Avec l'identifiant de la référence
code: copy, description: Copie
code: copy_type, description: Type de copie
code: cost_to_patron, description: Coût de réception du lecteur
code: create_date, description: Date de création
code: delivery_address, description: Adresse de livraison
code: from, description: Du
code: fulfillment_note, description: Note de services aux lecteurs
code: internal_id, description: Identifiant interne
code: item_barcode, description: Code-barres exemplaire
code: journal_title, description: Titre de revue
code: lending_request_create_date, description: Date de la demande
code: lending_request_local_id, description: Numéro de réception
code: letterName, description: Lettre d'avis de réception de PEB
code: loan, description: Prêt
code: message_to_lender, description: Message au prêteur
code: nacsis_request_id, description: Identifiant de la demande
code: page, description: Page
code: patron_name, description: Nom du lecteur
code: payment_type, description: Classe de paiement
code: pickup_location, description: Bibliothèque de retrait
code: quantity, description: Quantité
code: reading_list, description: Ce document a été demandé pour la liste de lecture
code: receive_date, description: Date d'arrivée
code: receiving_library_address, description: Adresse de la bibliothèque destinataire
code: registration_number, description: Numéro d'enregistrement
code: request_date, description: Date de la demande
code: request_id, description: Numéro de la demande
code: request_status, description: Statut de la demande
code: request_type, description: Type de demande
code: requested_date, description: Date de réception
code: requesting_library, description: Bibliothèque demandeuse
code: requesting_library_address, description: Adresse de la bibliothèque demandeuse
code: return_date_bor, description: Date de retour pour l'emprunteur
code: return_date_len, description: Date de retour pour le prêteur
code: return_deadline, description: Date limite de retour
code: service_type, description: Type de demande
code: shipping_cost, description: Coût
code: shipping_costs, description: Coûts d'expédition
code: shipping_date, description: Date d'expédition
code: shipping_fee, description: Frais d'expédition
code: shipping_method, description: Méthode d'expédition
code: signature, description: Cordialement
code: size, description: Taille
code: slip_title, description: Lettre de transmission
code: subject, description: Lettre d'avis de réception de PEB
code: subtotal, description: Sous-total
code: title, description: Titre
code: total, description: Total
code: unit_price, description: Prix unitaire
code: update_date, description: Date de mise à jour
code: volume, description: Volume
code: volume_number, description: Nombre de volumes
code: year, description: Année
