code: signature, description: Cordialement
code: returned, description: L'exemplaire suivant emprunté à votre institution est retourné.
code: addressFrom, description: Your.Department@organization.com
code: letterName, description: Lettre d'avis de retour de PEB
code: subject, description: Lettre d'avis de retour de PEB
code: returned_to, description: Retourné à
code: address, description: Adresse d'expédition
code: email, description: E-mail
code: phone, description: Téléphone
code: request_id, description: Identifiant de la demande
code: title, description: Titre
code: journal_title, description: Titre de revue
code: author, description: Auteur
code: volume, description: Volume
code: issue, description: Fascicule
code: arrival_date, description: Date d'arrivée
code: required_return_date, description: Date de retour requise
code: note_to_partner, description: Note au partenaire
code: source, description: Source
code: pod_id, description: ID de groupement
code: pod_name, description: Nom du groupement
code: Cc, description: Aucun
code: Bcc, description: Aucun
code: shipping_method, description: Méthode d'expédition
code: request_status, description: Statut de la demande
code: service_type, description: Type de demande
code: loan, description: Prêt
code: copy, description: Copie
code: bor_request_local_id, description: Numéro de la demande
code: lending_request_create_date, description: Date de la demande
code: payment_type, description: Classe de paiement
code: copy_type, description: Type de copie
code: lending_request_local_id, description: Numéro de réception
code: requested_date, description: Date de réception
code: shipping_date, description: Date d'expédition
code: return_deadline, description: Date limite de retour
code: size, description: Taille
code: unit_price, description: Prix unitaire
code: quantity, description: Quantité
code: subtotal, description: Sous-total
code: basic_fee, description: Frais de base
code: shipping_fee, description: Frais d'expédition
code: total, description: Total
code: article, description: Article
code: volume_number, description: Nombre de volumes
code: page, description: Page
code: year, description: Année
code: applicant_name, description: Nom du demandeur
code: affiliation, description: Affiliation
code: nacsis_request_id, description: Identifiant de la demande
code: create_date, description: Date de création
code: update_date, description: Date de mise à jour
code: request_type, description: Type de demande
code: bib_record_id, description: Identifiant de notice bibliographique
code: bib_record_title, description: Titre
code: bib_standard_number, description: Numéro standard
code: call_number, description: Cote
code: registration_number, description: Numéro d'enregistrement
code: receive_date, description: Date d'arrivée
code: return_date_bor, description: Date de retour pour l'emprunteur
code: return_date_len, description: Date de retour pour le prêteur
code: authority, description: Autorité
code: bib_auth, description: Autorité bibliographique
code: slip_title, description: Lettre de transmission
code: apology_message, description: Message d'excuse
code: message_to_lender, description: Message au prêteur
code: delivery_address, description: Adresse de livraison
code: from, description: Du
code: shipping_costs, description: Coûts d'expédition
code: requesting_library, description: Bibliothèque demandeuse
code: requesting_library_address, description: Adresse de la bibliothèque demandeuse
code: receiving_library_address, description: Adresse de la bibliothèque destinataire
